word_lower	word_cap	alt_caps	examples	source	status	notes
amyloidosis	Amyloidosis		Amyloidosis, hereditary systemic 2; Amyloidosis, primary localized cutaneous, 1; Amyloidosis, primary localized cutaneous, 2	OMIM	lower	
amyotrophic	Amyotrophic		Amyotrophic lateral sclerosis 10, with or without FTD; Amyotrophic lateral sclerosis 26 with or without frontote...; Amyotrophic lateral sclerosis, susceptibility to	OMIM	lower	
amyotrophy	Amyotrophy		Amyotrophy, hereditary neuralgic	OMIM	lower	
anal	Anal		Anal canal carcinoma	OMIM	lower	
analbuminemia	Analbuminemia		Analbuminemia	OMIM	lower	
analgesia	Analgesia		Analgesia from kappa-opioid receptor agonist, female-spec...	OMIM	lower	
anauxetic	Anauxetic		Anauxetic dysplasia 3; Anauxetic dysplasia 2; Anauxetic dysplasia 1	OMIM	lower	
andersen	Andersen		Andersen syndrome	OMIM	cap	
androgen	Androgen		Androgen insensitivity, partial, with or without breast c...; Androgen insensitivity	OMIM	lower	
anemia	Anemia		Anemia, congenital, nonspherocytic hemolytic, 2, pyruvate...; Anemia, hypochromic microcytic, with iron overload 2; Anemia, sideroblastic, 2, pyridoxine-refractory	OMIM	lower	
anencephaly	Anencephaly		Anencephaly 2; Anencephaly 1	OMIM	lower	
aneurysm	Aneurysm		Aneurysm, intracranial berry, 3; Aneurysm, intracranial berry, 9; Aneurysm, intracranial berry, 4	OMIM	lower	
aneurysmal	Aneurysmal		Aneurysmal bone cysts	OMIM	lower	
angelman	Angelman		Angelman syndrome	OMIM	cap	
angio	Angio		Angio serpiginosum	OMIM	lower	this is supposed to be angioma
angioedema	Angioedema		Angioedema, hereditary, 6; Angioedema, hereditary, 3; Angioedema, hereditary, 4	OMIM	lower	
angiopathy	Angiopathy		Angiopathy, hereditary, with nephropathy, aneurysms, and ...	OMIM	lower	
angiotensin	Angiotensin		Angiotensin I-converting enzyme, benign serum increase	OMIM	lower	
anhaptoglobinemia	Anhaptoglobinemia		Anhaptoglobinemia	OMIM	lower	
anhidrosis	Anhidrosis		Anhidrosis, isolated, with normal sweat glands	OMIM	lower	
aniridia	Aniridia		Aniridia 2; Aniridia; Aniridia 3	OMIM	lower	
anisomastia	Anisomastia		Anisomastia	OMIM	lower	
ankylosing	Ankylosing		Ankylosing spondylitis, susceptibility to, 1	OMIM	lower	
anonychia	Anonychia		Anonychia congenita	OMIM	lower	
anorexia	Anorexia		Anorexia nervosa, susceptibility to, 1	OMIM	lower	
anosmia	Anosmia		Anosmia, isolated congenital	OMIM	lower	
anterior	Anterior		Anterior segment dysgenesis 2, multiple subtypes; Anterior segment dysgenesis 7, with sclerocornea; Anterior segment dysgenesis 6, multiple subtypes	OMIM	lower	
antiphospholipid	Antiphospholipid		Antiphospholipid syndrome, familial	OMIM	lower	
antley	Antley		Antley-Bixler syndrome with genital anomalies and disorde...; Antley-Bixler syndrome without genital anomalies or disor...	OMIM	cap	
anxiety	Anxiety		Anxiety-related personality traits	OMIM	lower	
aortic	Aortic		Aortic aneurysm, familial thoracic 11, susceptibility to; Aortic aneurysm, familial thoracic 7; Aortic aneurysm, familial abdominal 2	OMIM	lower	
apert	Apert		Apert syndrome	OMIM	cap	
aplasia	Aplasia		Aplasia cutis-enamel dysplasia syndrome; Aplasia of lacrimal and salivary glands; Aplasia cutis congenita, nonsyndromic	OMIM	lower	
aplastic	Aplastic		Aplastic anemia, susceptibility to; Aplastic anemia	OMIM	lower	
apnea	Apnea		Apnea, postanesthetic, susceptibility to, due to BCHE def...	OMIM	lower	
apolipoprotein	Apolipoprotein		?Apolipoprotein A-II deficiency; Apolipoprotein C-III deficiency	OMIM	lower	
apparent	Apparent		Apparent mineralocorticoid excess	OMIM	lower	
