word_lower	word_cap	alt_caps	examples	source	status	notes
keratoconus	Keratoconus		Keratoconus 4; Keratoconus 9; Keratoconus 3	OMIM	lower	
keratoderma	Keratoderma		Keratoderma, palmoplantar, punctate type 3; Keratoderma, palmoplantar, punctate type IB; Keratoderma, palmoplantar, with deafness	OMIM	lower	
keratolytic	Keratolytic		Keratolytic winter erythema	OMIM	lower	
keratosis	Keratosis		Keratosis, seborrheic, somatic; Keratosis palmoplantaris striata II; Keratosis palmoplantaris striata III	OMIM	lower	
kernohan	Kernohan		White-Kernohan syndrome	OMIM	cap	
keutel	Keutel		Keutel syndrome	OMIM	cap	
khan	Khan		Khan-Khan-Katsanis syndrome	OMIM	cap	
kidd	Kidd		Blood group, Kidd	OMIM	cap	
killian	Killian		Pallister-Killian syndrome	OMIM	cap	
kilquist	Kilquist		Kilquist syndrome	OMIM	cap	
kimberley	Kimberley		Spondyloepiphyseal dysplasia, Kimberley type	OMIM	cap	
kindler	Kindler		Kindler syndrome	OMIM	cap	
king	King		King-Denborough syndrome	OMIM	cap	
kingsmore	Kingsmore		Smith-Kingsmore syndrome	OMIM	cap	
kininogen	Kininogen		Kininogen deficiency	OMIM	cap	
kinsship	KINSSHIP		KINSSHIP syndrome	OMIM	cap	
kitamura	Kitamura		Reticulate acropigmentation of Kitamura	OMIM	cap	
kleefstra	Kleefstra		Kleefstra syndrome 2; Kleefstra syndrome 1	OMIM	cap	
klein	Klein		Mullegama-Klein-Martinez syndrome	OMIM	cap	
kline	Kline		Au-Kline syndrome	OMIM	cap	
klippel	Klippel		Klippel-Feil syndrome 1, autosomal dominant; Klippel-Trenaunay-Weber syndrome; Klippel-Feil syndrome 3, autosomal dominant	OMIM	cap	
kniest	Kniest		Kniest dysplasia	OMIM	cap	
knobloch	Knobloch		Knobloch syndrome 2; Knobloch syndrome, type 1	OMIM	cap	
knops	Knops		Blood group, Knops system	OMIM	cap	
knorr	Knorr		Lichtenstein-Knorr syndrome	OMIM	cap	
kohlschutter	Kohlschutter		Kohlschutter-Tonz syndrome	OMIM	cap	
kolk	Kolk		Witteveen-Kolk syndrome	OMIM	cap	
kondo	Kondo		Spondyloepiphyseal dysplasia, Kondo-Fu type	OMIM	cap	
kondoh	Kondoh		Kondoh syndrome	OMIM	cap	
koolen	Koolen		Koolen-De Vries syndrome	OMIM	cap	
kosaki	Kosaki		Takenouchi-Kosaki syndrome; Kosaki overgrowth syndrome	OMIM	cap	
kowarski	Kowarski		Kowarski syndrome	OMIM	cap	
kozlowski	Kozlowski		Spondylometaphyseal dysplasia, Kozlowski type	OMIM	cap	
krabbe	Krabbe		Krabbe disease, atypical; Krabbe disease	OMIM	cap	
krakow	Krakow		Spondyloepimetaphyseal dysplasia, Krakow type	OMIM	cap	
kreienkamp	Kreienkamp		Lessel-Kreienkamp syndrome	OMIM	cap	
kruszka	Kruszka		Weiss-Kruszka syndrome	OMIM	cap	
kubisch	Kubisch		Lessel-Kubisch syndrome	OMIM	cap	
kucinskas	Kucinskas		Alkuraya-Kucinskas syndrome	OMIM	cap	
kufor	Kufor		Kufor-Rakeb syndrome	OMIM	cap	
kufs	Kufs		Ceroid lipofuscinosis, neuronal, 13 (Kufs type); Ceroid lipofuscinosis, neuronal, 6B (Kufs type); Ceroid lipofuscinosis, neuronal, 4 (Kufs type), autosomal...	OMIM	cap	
kumar	Kumar		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
kuru	Kuru		Kuru, susceptibility to	OMIM	lower	
kury	Kury		Kury-Isidor syndrome	OMIM	cap	
kuwahara	Kuwahara		Alzahrani-Kuwahara syndrome	OMIM	cap	
kyphomelic	Kyphomelic		Kyphomelic dysplasia	OMIM	lower	
kyphoscoliosis	Kyphoscoliosis		Kyphoscoliosis 1	OMIM	lower	
laband	Laband		Zimmermann-Laband syndrome 3; Zimmermann-Laband syndrome 1; Zimmermann-Laband syndrome 2	OMIM	cap	
lacrimal	Lacrimal		Lacrimal duct defect	OMIM	lower	
lactase	Lactase		Lactase deficiency, congenital; Lactase persistence/nonpersistence	OMIM	lower	
lactate	Lactate		Lactate dehydrogenase-B deficiency	OMIM	lower	
laere	Laere		Brown-Vialetto-Van Laere syndrome 2; Brown-Vialetto-Van Laere syndrome 1	OMIM	cap	
lafora	Lafora		Myoclonic epilepsy of Lafora 2; Myoclonic epilepsy of Lafora 1	OMIM	cap	
lakhani	Lakhani		Jeffries-Lakhani neurodevelopmental syndrome	OMIM	cap	
lamb	Lamb		Lamb-Shaffer syndrome	OMIM	cap	
lambert	Lambert		Ichthyosis histrix, Lambert type	OMIM	cap	
landau	Landau		Birk-Landau-Perez syndrome	OMIM	cap	
landsteiner	Landsteiner		Blood group, Landsteiner-Wiener	OMIM	cap	
lange	Lange		Cornelia de Lange syndrome 1; Cornelia de Lange syndrome 4; Cornelia de Lange syndrome 3	OMIM	cap	
langer	Langer		Langer mesomelic dysplasia	OMIM	cap	
langereis	Langereis		Blood group, Langereis system	OMIM	cap	
laron	Laron		Laron dwarfism	OMIM	cap	
larsen	Larsen		Larsen syndrome; Larsen-like syndrome	OMIM	cap	
larsson	Larsson		Sjogren-Larsson syndrome	OMIM	cap	
laryngeal	Laryngeal		Laryngeal adductor paralysis	OMIM	lower	
lateral	Lateral		Lateral meningocele syndrome	OMIM	lower	
lathosterolosis	Lathosterolosis		Lathosterolosis	OMIM	cap	
laurence	Laurence		Laurence-Moon syndrome	OMIM	cap	
laurin	Laurin		Laurin-Sandrow syndrome	OMIM	cap	
laxova	Laxova		Neu-Laxova syndrome 1; Neu-Laxova syndrome 2	OMIM	cap	
lazarus	Lazarus		Bamforth-Lazarus syndrome	OMIM	cap	
ldl	LDL		Combined low LDL and fibrinogen; LDL cholesterol level QTL2	OMIM	cap	
lean	Lean		Lean body mass QTL 1	OMIM	lower	
leber	Leber		Spondyloepiphyseal dysplasia, sensorineural hearing loss,...; Leber congenital amaurosis 9; Leber congenital amaurosis 2	OMIM	cap	
lefevre	Lefevre		Papillon-Lefevre syndrome	OMIM	cap	
left	Left		Left ventricular noncompaction 8; Left ventricular noncompaction 6; Left ventricular noncompaction 3	OMIM	lower	
legg	Legg		Legg-Calve-Perthes disease	OMIM	cap	
legionnaire	Legionnaire		Legionnaire disease, susceptibility to	OMIM	cap	
legius	Legius		Legius syndrome	OMIM	cap	
lehmann	Lehmann		Borjeson-Forssman-Lehmann syndrome	OMIM	cap	
leigh	Leigh		3-methylglutaconic aciduria with deafness, encephalopathy...	OMIM	cap	
leiomyomatosis	Leiomyomatosis		Leiomyomatosis and renal cell cancer	OMIM	lower	
lemli	Lemli		Smith-Lemli-Opitz syndrome	OMIM	cap	
lenz	Lenz		Lenz-Majewski hyperostotic dwarfism; Cenani-Lenz syndactyly syndrome	OMIM	cap	
leopard	LEOPARD		LEOPARD syndrome 2; LEOPARD syndrome 3; LEOPARD syndrome 1	OMIM	cap	
leprosy	Leprosy		Leprosy, susceptibility to, 5; Leprosy, protection against; Leprosy, susceptibility to	OMIM	lower	
leptin	Leptin		Leptin serum levels QTL1	OMIM	lower	
leri	Leri		Leri pleonosteosis chromosome duplication syndrome; Leri-Weill dyschondrosteosis	OMIM	cap	
lesch	Lesch		Lesch-Nyhan syndrome	OMIM	cap	
lessel	Lessel		Lessel-Kreienkamp syndrome; Lessel-Kubisch syndrome	OMIM	cap	
lethal	Lethal		Lethal congenital contracture syndrome 9; Lethal congenital contracture syndrome 1; Lethal congenital contracture syndrome 8	OMIM	lower	
leukemia	Leukemia		Leukemia, acute lymphoblastic, somatic; Leukemia, T-cell acute lymphocytic, somatic; Leukemia/lymphoma, T-cell	OMIM	lower	
leukocyte	Leukocyte		Leukocyte adhesion deficiency, type III; Leukocyte adhesion deficiency	OMIM	lower	
leukodystrophy	Leukodystrophy		Leukodystrophy, hypomyelinating, 23, with ataxia, deafnes...; Leukodystrophy, hypomyelinating, 15; Leukodystrophy, hypomyelinating, 18	OMIM	lower	
leukoencephalopathy	Leukoencephalopathy		Leukoencephalopathy with vanishing white matter 3, with o...; Leukoencephalopathy with dystonia and motor neuropathy; Leukoencephalopathy with brain stem and spinal cord invol...	OMIM	lower	
leukotriene	Leukotriene		Leukotriene C4 synthase deficiency	OMIM	lower	
levy	Levy		Roussy-Levy syndrome; Levy-Shanske syndrome	OMIM	cap	
lewis	Lewis		Blood group, Lewis	OMIM	cap	
lewy	Lewy		Lewy body dementia, susceptibility to; Dementia, Lewy body	OMIM	cap	
leydig	Leydig		Leydig cell adenoma, somatic, with precocious puberty; Leydig cell hypoplasia with pseudohermaphroditism; Leydig cell hypoplasia with hypergonadotropic hypogonadism	OMIM	cap	
liang	Liang		Liang-Wang syndrome	OMIM	cap	
liberfarb	Liberfarb		Liberfarb syndrome	OMIM	cap	
lichtenstein	Lichtenstein		Lichtenstein-Knorr syndrome	OMIM	cap	
liddle	Liddle		Liddle syndrome 3; Liddle syndrome 2; Liddle syndrome 1	OMIM	cap	
liebenberg	Liebenberg		Liebenberg syndrome	OMIM	cap	
lig	LIG		LIG4 syndrome	OMIM	cap	
limb	Limb		Limb-mammary syndrome	OMIM	lower	
lindau	Lindau		von Hippel-Lindau syndrome; von Hippel-Lindau syndrome, modifier of	OMIM	cap	
linear	Linear		Linear skin defects with multiple congenital anomalies 1; Linear skin defects with multiple congenital anomalies 3; Linear skin defects with multiple congenital anomalies 2	OMIM	lower	
lipase	Lipase		Lipase deficiency, combined	OMIM	lower	
lipid	Lipid		Lipid storage myopathy due to flavin adenine dinucleotide...	OMIM	lower	
lipodystrophy	Lipodystrophy		Lipodystrophy, familial partial, type 2; Lipodystrophy, familial partial, type 5; Lipodystrophy, familial partial, type 3	OMIM	lower	
lipoid	Lipoid		Lipoid adrenal hyperplasia	OMIM	lower	
lipoma	Lipoma		Lipoma (3); Lipoma, somatic (3)	OMIM	lower	
lipomatosis	Lipomatosis		Lipomatosis, multiple symmetric, with or without peripher...	OMIM	lower	
lipoprotein	Lipoprotein		Lipoprotein lipase deficiency; Lipoprotein glomerulopathy	OMIM	lower	
liposarcoma	Liposarcoma		Liposarcoma (1)	OMIM	lower	
lipoyltransferase	Lipoyltransferase		Lipoyltransferase 1 deficiency	OMIM	lower	
lisch	Lisch		Lisch epithelial corneal dystrophy	OMIM	cap	
lissencephaly	Lissencephaly		Lissencephaly 9 with complex brainstem malformation; Lissencephaly 10; Lissencephaly 2 (Norman-Roberts type)	OMIM	lower	
liver	Liver		Liver disease, severe congenital; Liver failure, transient infantile	OMIM	lower	
lodder	Lodder		Lodder-Merla syndrome, type 2, with developmental delay a...; Lodder-Merla syndrome, type 1, with impaired intellectual...	OMIM	cap	
loeys	Loeys		Loeys-Dietz syndrome 4; Loeys-Dietz syndrome 2; Loeys-Dietz syndrome 1	OMIM	cap	
loken	Loken		Senior-Loken syndrome 4; Senior-Loken syndrome 7; Senior-Loken syndrome-1	OMIM	cap	
londe	Londe		Fazio-Londe disease	OMIM	cap	
long	Long		Long-Olsen-Distelmaier syndrome; Long QT syndrome 15; Long QT syndrome 9	OMIM	lower	
longevity	Longevity		Longevity 1; Longevity 2	OMIM	lower	
lopes	Lopes		Lopes-Maciel-Rodan syndrome	OMIM	cap	
low	Low		Low density lipoprotein cholesterol level QTL 1; Low density lipoprotein cholesterol level QTL6; Low density lipoprotein cholesterol level QTL 3	OMIM	lower	
lowe	Lowe		Lowe syndrome	OMIM	cap	
lower	Lower		Lower urinary tract obstruction, congenital	OMIM	cap	
lowry	Lowry		Lowry-Wood syndrome; Coffin-Lowry syndrome	OMIM	cap	
lubinsky	Lubinsky		Keppen-Lubinsky syndrome	OMIM	cap	
lubs	Lubs		Intellectual developmental disorder, X-linked syndromic, ...	OMIM	cap	
lui	Lui		Lui-Jee-Baron syndrome	OMIM	cap	
lujan	Lujan		Lujan-Fryns syndrome	OMIM	cap	
lumbar	Lumbar		Lumbar disc herniation, susceptibility to; Lumbar disc degeneration; Lumbar disc disease, susceptibility to	OMIM	lower	
lumish	Lumish		Luscan-Lumish syndrome	OMIM	cap	
lundborg	Lundborg		Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg)	OMIM	cap	
lung	Lung		Lung cancer, susceptibility to; Lung cancer, protection against; Lung cancer susceptibility 5	OMIM	lower	
luo	Luo		Luo-Schoch-Yamamoto syndrome	OMIM	cap	
lupski	Lupski		Yuan-Harel-Lupski syndrome; Potocki-Lupski syndrome	OMIM	cap	
lupus	Lupus		Lupus nephritis, susceptibility to	OMIM	lower	
luria	Luria		O'Donnell-Luria-Rodan syndrome	OMIM	cap	
luscan	Luscan		Luscan-Lumish syndrome	OMIM	cap	
luteinizing	Luteinizing		Luteinizing hormone resistance, female	OMIM	lower	
lutheran	Lutheran		Blood group--Lutheran inhibitor; Blood group, Lutheran system; Blood group, Lutheran null	OMIM	cap	
lymphangioleiomyomatosis	Lymphangioleiomyomatosis		Lymphangioleiomyomatosis; Lymphangioleiomyomatosis, somatic	OMIM	lower	
lymphatic	Lymphatic		Lymphatic malformation 11; Lymphatic malformation 3; Lymphatic malformation 8	OMIM	lower	
lymphedema	Lymphedema		Lymphedema-distichiasis syndrome; Lymphedema-distichiasis syndrome with renal disease and d...	OMIM	lower	
lymphoma	Lymphoma		Lymphoma, non-Hodgkin, somatic; Lymphoma, follicular, somatic; Lymphoma, MALT, somatic	OMIM	lower	
lymphoproliferative	Lymphoproliferative		Lymphoproliferative syndrome 1; Lymphoproliferative syndrome 2; Lymphoproliferative syndrome 3	OMIM	lower	
lynch	Lynch		Lynch syndrome 8; Lynch syndrome 1; Lynch syndrome 5	OMIM	cap	
lysinuric	Lysinuric		Lysinuric protein intolerance	OMIM	lower	
lysis	Lysis		Lysis by alloreactive natural killer cells, susceptibilit...	OMIM	lower	
lysosomal	Lysosomal		Lysosomal acid phosphatase deficiency	OMIM	lower	
maawali	Maawali		Tayoun-Maawali syndrome	OMIM	cap	
mabille	Mabille		Nivelon-Nivelon-Mabille syndrome	OMIM	cap	
machado	Machado		Machado-Joseph disease	OMIM	cap	
maciel	Maciel		Lopes-Maciel-Rodan syndrome	OMIM	cap	
macken	Macken		Baralle-Macken syndrome	OMIM	cap	
macklin	Macklin		Ichthyosis histrix, Curth-Macklin type	OMIM	cap	
macrocephaly	Macrocephaly		Macrocephaly/megalencephaly syndrome, autosomal recessive; Macrocephaly, acquired, with impaired intellectual develo...; Macrocephaly/autism syndrome	OMIM	lower	
macrodactyly	Macrodactyly		Macrodactyly, somatic	OMIM	lower	
macroglobulinemia	Macroglobulinemia		Macroglobulinemia, Waldenstrom, somatic; Macroglobulinemia, Waldenstrom, susceptibility to, 2	OMIM	lower	
macrophthalmia	Macrophthalmia		Macrophthalmia, colobomatous, with microcornea	OMIM	lower	
macrostomia	Macrostomia		Macrostomia	OMIM	lower	
macrothrombocytopenia	Macrothrombocytopenia		Macrothrombocytopenia, isolated, 1, autosomal dominant; Macrothrombocytopenia, isolated, 2, autosomal dominant; Macrothrombocytopenia and granulocyte inclusions with or ...	OMIM	lower	
macular	Macular		Macular degeneration, age-related, 2; Macular degeneration, age-related, 1; Macular degeneration, age-related, 4	OMIM	lower	
magenis	Magenis		Smith-Magenis syndrome	OMIM	cap	
mahvash	Mahvash		Mahvash disease	OMIM	cap	
majeed	Majeed		Majeed syndrome	OMIM	cap	
majewski	Majewski		Lenz-Majewski hyperostotic dwarfism	OMIM	cap	
major	Major		Major affective disorder 5; Major depressive disorder and accelerated response to ant...; Major affective disorder 6	OMIM	lower	
malan	Malan		Malan syndrome	OMIM	cap	
malaria	Malaria		Malaria, vivax, protection against; Malaria, severe, susceptibility to; Malaria, resistance to	OMIM	lower	
maldergem	Maldergem		Van Maldergem syndrome 2; Van Maldergem syndrome 1	OMIM	cap	
male	Male		Male germ cell tumor, somatic	OMIM	lower	
maleylacetoacetate	Maleylacetoacetate		Maleylacetoacetate isomerase deficiency	OMIM	lower	
malicdan	Malicdan		Morimoto-Ryu-Malicdan neuromuscular syndrome	OMIM	cap	
malignant	Malignant		Malignant hyperthermia susceptibility 5; Malignant hyperthermia susceptibility 4; Malignant hyperthermia susceptibility 6	OMIM	lower	
malonyl	Malonyl		Malonyl-CoA decarboxylase deficiency	OMIM	lower	
malt	MALT		Lymphoma, MALT, somatic	OMIM	cap	
mammary	Mammary		Mammary-digital-nail syndrome	OMIM	lower	
mandibular	Mandibular		Mandibular hypoplasia, deafness, progeroid features, and ...	OMIM	lower	
mandibuloacral	Mandibuloacral		Mandibuloacral dysplasia with type B lipodystrophy; Mandibuloacral dysplasia; Mandibuloacral dysplasia progeroid syndrome	OMIM	lower	
mandibulofacial	Mandibulofacial		Mandibulofacial dysostosis with alopecia; Mandibulofacial dysostosis, Guion-Almeida type	OMIM	lower	
manitoba	Manitoba		Manitoba oculotrichoanal syndrome	OMIM	cap	
mannosidosis	Mannosidosis		Mannosidosis, beta; Mannosidosis, alpha-, types I and II	OMIM	lower	
manzke	Manzke		Catel-Manzke syndrome	OMIM	cap	
mapbp	MAPBP		Immunodeficiency due to defect in MAPBP-interacting protein	OMIM	cap	
maple	Maple		Maple syrup urine disease, type II; Maple syrup urine disease, mild variant; Maple syrup urine disease, type Ib	OMIM	lower	
marbach	Marbach		Marbach-Rustad progeroid syndrome; Marbach-Schaaf neurodevelopmental syndrome	OMIM	cap	
marchesani	Marchesani		Weill-Marchesani syndrome 3, recessive; Weill-Marchesani syndrome 2, dominant; Weill-Marchesani 4 syndrome, recessive	OMIM	cap	
marden	Marden		Marden-Walker syndrome	OMIM	cap	
marfan	Marfan		Marfan lipodystrophy syndrome; Marfan syndrome	OMIM	cap	
marie	Marie		Charcot-Marie-Tooth disease, recessive intermediate C; Charcot-Marie-Tooth disease, type 2A1; Charcot-Marie-Tooth disease, axonal, type 2A2A	OMIM	cap	
marinesco	Marinesco		Marinesco-Sjogren syndrome	OMIM	cap	
maroofian	Maroofian		Hengel-Maroofian-Schols syndrome	OMIM	cap	
maroteaux	Maroteaux		Mucopolysaccharidosis type VI (Maroteaux-Lamy); Acromesomelic dysplasia 1, Maroteaux type; SED, Maroteaux type	OMIM	cap	
marshall	Marshall		Marshall syndrome; Marshall-Smith syndrome	OMIM	cap	
marsili	Marsili		Marsili syndrome	OMIM	cap	
martin	Martin		Martin-Probst syndrome	OMIM	cap	
martinez	Martinez		Mullegama-Klein-Martinez syndrome	OMIM	cap	
martsolf	Martsolf		Martsolf syndrome 1; Martsolf syndrome 2	OMIM	cap	
masa	MASA		MASA syndrome	OMIM	cap	
masp	MASP		MASP2 deficiency	OMIM	cap	
mass	MASS		MASS syndrome	OMIM	cap	may need to allow lowercase = common word; not yet aware of any common use
masson	Masson		Kaya-Barakat-Masson syndrome	OMIM	cap	
mast	Mast		Mast syndrome	OMIM	lower	
mastocytosis	Mastocytosis		Mastocytosis, cutaneous; Mastocytosis, systemic, somatic	OMIM	lower	
matsumoto	Matsumoto		Imagawa-Matsumoto syndrome	OMIM	cap	
maturity	Maturity		Maturity-onset diabetes of the young, type VII; Maturity-onset diabetes of the young 6; Maturity-onset diabetes of the young, type 14	OMIM	lower	
mccort	McCort		Smith-McCort dysplasia 2; Smith-McCort dysplasia	OMIM	cap	
mccullough	McCullough		Chudley-McCullough syndrome	OMIM	cap	
mccune	McCune		McCune-Albright syndrome, somatic mosaic	OMIM	cap	
mcdermid	McDermid		Phelan-McDermid syndrome	OMIM	cap	
mcfarlane	McFarlane		Oliver-McFarlane syndrome	OMIM	cap	
mckeown	McKeown		Burn-McKeown syndrome	OMIM	cap	
mckusick	McKusick		McKusick-Kaufman syndrome	OMIM	cap	
mcleod	McLeod		McLeod syndrome	OMIM	cap	
mcneill	McNeill		Delpire-McNeill syndrome	OMIM	cap	
meacham	Meacham		Meacham syndrome	OMIM	cap	
mean	Mean		Mean platelet volume QTL2; Mean platelet volume QTL4; Mean platelet volume QTL5	OMIM	lower	
meckel	Meckel		Meckel syndrome 12; Meckel syndrome 7; Meckel syndrome 6	OMIM	cap	
meconium	Meconium		Meconium ileus; Meconium ileus in cystic fibrosis, susceptibility to	OMIM	lower	
mediterranean	Mediterranean		Familial Mediterranean fever, AR; Familial Mediterranean fever, AD	OMIM	cap	
mednik	MEDNIK		MEDNIK syndrome	OMIM	cap	
medullary	Medullary		Medullary thyroid carcinoma	OMIM	lower	
medulloblastoma	Medulloblastoma		Medulloblastoma, somatic; Medulloblastoma predisposition syndrome; Medulloblastoma	OMIM	lower	
meesmann	Meesmann		Meesmann corneal dystrophy 2; Meesmann corneal dystrophy 1	OMIM	cap	
meester	Meester		Meester-Loeys syndrome	OMIM	cap	
mega	Mega		Mega-corpus-callosum syndrome with cerebellar hypoplasia ...	OMIM	lower	
megabladder	Megabladder		Megabladder, congenital	OMIM	lower	
megacystis	Megacystis		Megacystis-microcolon-intestinal hypoperistalsis syndrome 3; Megacystis-microcolon-intestinal hypoperistalsis syndrome 5; Megacystis-microcolon-intestinal hypoperistalsis syndrome 1	OMIM	lower	
megalencephalic	Megalencephalic		Megalencephalic leukoencephalopathy with subcortical cyst...; Megalencephalic leukoencephalopathy with subcortical cyst...; Megalencephalic leukoencephalopathy with subcortical cysts 3	OMIM	lower	
megalencephaly	Megalencephaly		Megalencephaly-polymicrogyria-polydactyly-hydrocephalus s...; Megalencephaly-polydactyly syndrome; Megalencephaly-capillary malformation-polymicrogyria synd...	OMIM	lower	
megaloblastic	Megaloblastic		Megaloblastic anemia due to dihydrofolate reductase defic...; Megaloblastic anemia, folate-responsive	OMIM	lower	
megalocornea	Megalocornea		Megalocornea 1, X-linked	OMIM	lower	
megarbane	Megarbane		Spondylometaphyseal dysplasia, Megarbane-Dagher-Melike type	OMIM	cap	
mehmo	MEHMO		MEHMO syndrome	OMIM	cap	
meier	Meier		Meier-Gorlin syndrome 1; Meier-Gorlin syndrome 2; Meier-Gorlin syndrome 6	OMIM	cap	
melanocytic	Melanocytic		Melanocytic nevus syndrome, congenital, somatic	OMIM	lower	
melanoma	Melanoma		Melanoma, cutaneous malignant, 1; Melanoma, cutaneous malignant, 4; Melanoma, cutaneous malignant, susceptibility to, 8	OMIM	lower	
melchior	Melchior		Dyggve-Melchior-Clausen disease	OMIM	cap	
meleda	Meleda		Meleda disease	OMIM	cap	
melioidosis	Melioidosis		Melioidosis, susceptibility to	OMIM	lower	
melkersson	Melkersson		Melkersson-Rosenthal syndrome	OMIM	cap	
melnick	Melnick		Melnick-Needles syndrome	OMIM	cap	
melorheostosis	Melorheostosis		Melorheostosis, isolated, somatic mosaic	OMIM	lower	
membranous	Membranous		?Membranous nephropathy, susceptibility to	OMIM	lower	
memory	Memory		Memory, enhanced, QTL	OMIM	lower	
menarche	Menarche		Menarche, age at, QTL2; Menarche, age at, QTL3; Menarche, age at, QTL	OMIM	lower	
mend	MEND		MEND syndrome	OMIM	cap	
meningioma	Meningioma		Meningioma, radiation-induced; Meningioma; Meningioma, familial, susceptibility to	OMIM	lower	
menke	Menke		Menke-Hennekam syndrome 1; Menke-Hennekam syndrome 2	OMIM	cap	
menkes	Menkes		Menkes disease	OMIM	cap	
menopause	Menopause		Menopause, natural, age at, QTL4; Menopause, natural, age at, QTL2; Menopause, natural, age at, QTL1	OMIM	lower	
mental	Mental		Mental health wellness-1; Mental health wellness-2	OMIM	lower	
merla	Merla		Lodder-Merla syndrome, type 2, with developmental delay a...; Lodder-Merla syndrome, type 1, with impaired intellectual...	OMIM	cap	
merten	Merten		Singleton-Merten syndrome 1; Singleton-Merten syndrome 2	OMIM	cap	
merzbacher	Merzbacher		Pelizaeus-Merzbacher disease	OMIM	cap	
mesomelia	Mesomelia		Mesomelia-synostoses syndrome	OMIM	lower	
mesomelic	Mesomelic		Mesomelic dysplasia, Kantaputra type	OMIM	lower	
mesothelioma	Mesothelioma		Mesothelioma, somatic	OMIM	lower	
metabolic	Metabolic		Metabolic crises, recurrent, with variable encephalomyopa...; Metabolic encephalomyopathic crises, recurrent, with rhab...	OMIM	lower	
metacarpal	Metacarpal		Metacarpal 4-5 fusion	OMIM	lower	
metachondromatosis	Metachondromatosis		Metachondromatosis	OMIM	lower	
metachromatic	Metachromatic		Metachromatic leukodystrophy due to SAP-b deficiency; Metachromatic leukodystrophy	OMIM	lower	
metaphyseal	Metaphyseal		Metaphyseal chondrodysplasia, Murk Jansen type; Metaphyseal dysplasia with maxillary hypoplasia with or w...; Metaphyseal chondrodysplasia, Schmid type	OMIM	lower	
metatropic	Metatropic		Metatropic dysplasia	OMIM	lower	
methemoglobinemia	Methemoglobinemia		Methemoglobinemia, beta type; Methemoglobinemia, alpha type; Methemoglobinemia and ambiguous genitalia	OMIM	lower	
methionine	Methionine		Methionine adenosyltransferase deficiency, autosomal rece...	OMIM	lower	
methylcrotonyl	Methylcrotonyl		3-Methylcrotonyl-CoA carboxylase 1 deficiency; 3-Methylcrotonyl-CoA carboxylase 2 deficiency	OMIM	lower	
methylmalonate	Methylmalonate		Methylmalonate semialdehyde dehydrogenase deficiency	OMIM	lower	
methylmalonic	Methylmalonic		Methylmalonic aciduria and homocystinuria, cblC type; Methylmalonic aciduria and homocystinuria, cblC type, dig...; Methylmalonic aciduria and homocystinuria, cblD type	OMIM	lower	
methylmalonyl	Methylmalonyl		Methylmalonyl-CoA epimerase deficiency	OMIM	lower	
mevalonic	Mevalonic		Mevalonic aciduria	OMIM	lower	
mhc	MHC		MHC class II deficiency 5; MHC class II deficiency 3; MHC class I deficiency 2	OMIM	cap	
microangiopathy	Microangiopathy		Microangiopathy and leukoencephalopathy, pontine, autosom...	OMIM	lower	
microcephalic	Microcephalic		Microcephalic osteodysplastic primordial dwarfism, type I; Microcephalic osteodysplastic primordial dwarfism, type II	OMIM	lower	
microcephaly	Microcephaly		Microcephaly 7, primary, autosomal recessive; Microcephaly 14, primary, autosomal recessive; Microcephaly 5, primary, autosomal recessive	OMIM	lower	
microcoria	Microcoria		Microcoria, congenital	OMIM	lower	
microcornea	Microcornea		Microcornea, rod-cone dystrophy, cataract, and posterior ...; Microcornea, rod-cone dystrophy, cataract, and posterior ...; Microcornea, myopic chorioretinal atrophy, and telecanthus	OMIM	lower	
microhydranencephaly	Microhydranencephaly		Microhydranencephaly	OMIM	lower	
microphthalmia	Microphthalmia		Microphthalmia/coloboma 11; Microphthalmia/coloboma 13; Microphthalmia/coloboma 7	OMIM	lower	
microspherophakia	Microspherophakia		Microspherophakia and/or megalocornea, with ectopia lenti...	OMIM	lower	
microtia	Microtia		Microtia with nasolacrimal duct imperforation and eye col...; Microtia with or without hearing impairment (AD); Microtia, hearing impairment, and cleft palate (AR)	OMIM	lower	
microvascular	Microvascular		Microvascular complications of diabetes 4; Microvascular complications of diabetes, susceptibility t...; Microvascular complications of diabetes 1	OMIM	lower	
midface	Midface		Midface hypoplasia, hearing impairment, elliptocytosis, a...	OMIM	lower	
mignot	Mignot		Parenti-Mignot neurodevelopmental syndrome	OMIM	cap	
migraine	Migraine		Migraine, familial basilar; Migraine, familial hemiplegic, 2; Migraine with or without aura, susceptibility to, 6	OMIM	lower	
miller	Miller		Miller syndrome; Miller-Dieker lissencephaly syndrome	OMIM	cap	
milton	Milton		Blood group, John-Milton-Hagen system	OMIM	cap	
mims	Mims		Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic	OMIM	cap	
miozzo	Miozzo		Paganini-Miozzo syndrome	OMIM	cap	
mirage	MIRAGE		MIRAGE syndrome	OMIM	cap	
mirror	Mirror		Mirror movements 2; Mirror movements 4; Mirror movements 1 and/or agenesis of the corpus callosum	OMIM	lower	
mishra	Mishra		Garg-Mishra progeroid syndrome	OMIM	cap	
mismatch	Mismatch		Mismatch repair cancer syndrome 2; Mismatch repair cancer syndrome 3; Mismatch repair cancer syndrome 1	OMIM	lower	
